Z=0.020000,Y=0.270,000 OS=0,.20 l/Hp,1.7432,01 [Fe/,H]= 0.0,46320 [,Alpha/F,e]= 0.00,,
M/Msun,logT,logL/Ls,logg,Mv,U-B,B-V,V-R,V-I,#(x=-1),#(x=1.35),#(x=3)
age(Gyr)=,0.001  3,5 points,,,,,,,,,
0.8,3.6362,-0.6552,4.493,7.062,1.144,1.178,0.717,1.332,2.00E+02,1.48E+02,1.06E+02
0.9,3.6594,-0.4817,4.4635,6.456,0.984,1.082,0.64,1.184,2.00E+02,1.12E+02,6.60E+01
1,3.6903,-0.265,4.4161,5.728,0.708,0.954,0.54,1.009,2.00E+02,8.74E+01,4.32E+01
1.1,3.7306,0.0035,4.3502,4.882,0.372,0.777,0.426,0.814,2.00E+02,6.98E+01,2.95E+01
1.2,3.7784,0.3338,4.2489,3.945,0.093,0.563,0.317,0.622,2.00E+02,5.69E+01,2.08E+01
1.3,3.8057,0.3993,4.3274,3.763,0.01,0.462,0.27,0.533,2.00E+02,4.71E+01,1.51E+01
1.4,3.8136,0.4659,4.3246,3.591,0.003,0.435,0.255,0.506,2.00E+02,3.96E+01,1.12E+01
1.5,3.834,0.6366,4.2654,3.148,0.014,0.367,0.218,0.433,2.00E+02,3.37E+01,8.50E+00
1.6,3.8654,0.7872,4.2684,2.758,0.064,0.28,0.164,0.328,2.00E+02,2.89E+01,6.56E+00
1.7,3.8944,0.9015,4.2965,2.475,0.109,0.205,0.116,0.235,2.00E+02,2.51E+01,5.15E+00
1.8,3.9163,1.0014,4.309,2.241,0.112,0.148,0.081,0.168,2.00E+02,2.19E+01,4.09E+00
1.9,3.9357,1.0971,4.3144,2.036,0.1,0.099,0.052,0.111,2.00E+02,1.93E+01,3.30E+00
2,3.9534,1.1879,4.3167,1.861,0.069,0.057,0.029,0.064,2.00E+02,1.71E+01,2.68E+00
2.1,3.9697,1.2736,4.3173,1.708,0.033,0.021,0.012,0.027,2.00E+02,1.53E+01,2.21E+00
2.2,3.9848,1.3548,4.3167,1.569,-0.007,-0.007,-0.001,-0.002,2.00E+02,1.37E+01,1.83E+00
2.3,3.9989,1.4319,4.3154,1.442,-0.048,-0.029,-0.01,-0.023,2.00E+02,1.23E+01,1.53E+00
2.4,4.0122,1.5054,4.3135,1.321,-0.088,-0.047,-0.018,-0.04,2.00E+02,1.11E+01,1.29E+00
2.5,4.0247,1.5756,4.3111,1.207,-0.128,-0.061,-0.024,-0.054,2.00E+02,1.01E+01,1.10E+00
2.6,4.0366,1.6429,4.3084,1.098,-0.167,-0.074,-0.029,-0.065,2.00E+02,9.23E+00,9.39E-01
2.7,4.0478,1.7074,4.3051,0.993,-0.204,-0.085,-0.033,-0.075,2.00E+02,8.45E+00,8.07E-01
2.8,4.0585,1.7694,4.3017,0.893,-0.239,-0.094,-0.037,-0.084,2.00E+02,7.76E+00,6.98E-01
2.9,4.0687,1.8292,4.2979,0.797,-0.273,-0.102,-0.04,-0.092,2.00E+02,7.14E+00,6.07E-01
3,4.0786,1.8866,4.2948,0.707,-0.306,-0.11,-0.043,-0.099,3.00E+02,9.70E+00,7.69E-01
3.2,4.0969,1.9959,4.2868,0.537,-0.365,-0.122,-0.047,-0.112,4.00E+02,1.13E+01,8.20E-01
3.4,4.1139,2.0982,4.2788,0.385,-0.417,-0.132,-0.052,-0.124,4.00E+02,9.84E+00,6.43E-01
3.6,4.1295,2.1944,4.2698,0.249,-0.464,-0.141,-0.055,-0.134,5.00E+02,1.06E+01,6.23E-01
3.9,4.1511,2.3289,4.2565,0.072,-0.526,-0.153,-0.061,-0.148,5.00E+02,9.04E+00,4.77E-01
4.1,4.1645,2.413,4.2477,-0.031,-0.561,-0.16,-0.064,-0.157,6.00E+02,9.24E+00,4.35E-01
4.5,4.1885,2.5699,4.2272,-0.25,-0.623,-0.173,-0.069,-0.172,9.00E+02,1.13E+01,4.64E-01
5,4.2151,2.7474,4.2019,-0.526,-0.685,-0.186,-0.075,-0.186,6.00E+02,6.25E+00,2.24E-01
5.1,4.22,2.7809,4.1966,-0.58,-0.696,-0.188,-0.076,-0.188,1.00E+02,9.58E-01,3.23E-02
,,,,,,,,,,,
age(Gyr)=,0.040  3,5 points,,,,,,,,,
0.4,3.4631,-1.6593,4.5037,12.313,1.75,1.921,1.514,3.492,1.00E+02,3.27E+02,6.64E+02
0.5,3.5243,-1.395,4.5811,10.386,1.38,1.605,1.112,2.485,2.00E+02,4.50E+02,7.09E+02
0.6,3.5886,-1.1028,4.6253,8.666,1.259,1.367,0.869,1.715,2.00E+02,2.92E+02,3.38E+02
0.7,3.6354,-0.8436,4.6202,7.549,1.155,1.185,0.726,1.347,2.00E+02,2.03E+02,1.82E+02
0.8,3.6816,-0.5472,4.5666,6.494,0.811,1.001,0.575,1.066,2.00E+02,1.48E+02,1.06E+02
0.9,3.7299,-0.2653,4.5291,5.571,0.394,0.794,0.436,0.829,2.00E+02,1.12E+02,6.60E+01
1,3.749,-0.1728,4.5587,5.289,0.261,0.712,0.392,0.751,2.00E+02,8.74E+01,4.32E+01
1.1,3.7699,0.0103,4.5006,4.785,0.13,0.615,0.344,0.668,2.00E+02,6.98E+01,2.95E+01
1.2,3.7881,0.1847,4.4368,4.322,0.054,0.536,0.306,0.599,2.00E+02,5.69E+01,2.08E+01
1.3,3.8081,0.3652,4.3711,3.85,0.005,0.456,0.267,0.527,2.00E+02,4.71E+01,1.51E+01
1.4,3.8279,0.5254,4.3223,3.434,0.004,0.389,0.23,0.457,2.00E+02,3.96E+01,1.12E+01
1.5,3.8477,0.6624,4.2944,3.08,0.025,0.33,0.195,0.389,2.00E+02,3.37E+01,8.50E+00
1.6,3.8714,0.7851,4.2945,2.764,0.074,0.266,0.155,0.31,2.00E+02,2.89E+01,6.56E+00
1.7,3.8949,0.8976,4.3024,2.485,0.109,0.204,0.116,0.234,2.00E+02,2.51E+01,5.15E+00
1.8,3.9161,1.0018,4.3078,2.239,0.113,0.149,0.081,0.168,2.00E+02,2.19E+01,4.09E+00
1.9,3.9352,1.0991,4.3104,2.03,0.101,0.1,0.053,0.113,2.00E+02,1.93E+01,3.30E+00
2,3.9526,1.1902,4.3112,1.853,0.071,0.058,0.03,0.066,2.00E+02,1.71E+01,2.68E+00
2.1,3.9686,1.2763,4.3102,1.696,0.036,0.023,0.013,0.029,2.00E+02,1.53E+01,2.21E+00
2.2,3.9834,1.3577,4.3082,1.556,-0.003,-0.005,0,0.001,2.00E+02,1.37E+01,1.83E+00
2.3,3.9971,1.4354,4.3047,1.425,-0.043,-0.027,-0.009,-0.021,2.00E+02,1.23E+01,1.53E+00
2.4,4.0102,1.5093,4.3016,1.302,-0.082,-0.045,-0.017,-0.038,2.00E+02,1.11E+01,1.29E+00
2.5,4.0224,1.5803,4.2972,1.184,-0.121,-0.06,-0.023,-0.051,2.00E+02,1.01E+01,1.10E+00
2.6,4.0339,1.6483,4.2922,1.071,-0.159,-0.072,-0.028,-0.063,2.00E+02,9.23E+00,9.39E-01
2.7,4.0448,1.7134,4.2871,0.963,-0.195,-0.083,-0.032,-0.073,2.00E+02,8.45E+00,8.07E-01
2.8,4.0553,1.7764,4.2819,0.859,-0.23,-0.092,-0.036,-0.081,2.00E+02,7.76E+00,6.98E-01
2.9,4.0653,1.8371,4.2764,0.76,-0.263,-0.1,-0.039,-0.089,2.00E+02,7.14E+00,6.07E-01
3,4.0749,1.8954,4.2712,0.665,-0.295,-0.108,-0.041,-0.096,3.00E+02,9.70E+00,7.69E-01
3.2,4.0926,2.007,4.2585,0.485,-0.352,-0.12,-0.046,-0.109,4.00E+02,1.13E+01,8.20E-01
3.4,4.1091,2.112,4.2458,0.32,-0.404,-0.13,-0.05,-0.12,4.00E+02,9.84E+00,6.43E-01
3.6,4.1243,2.2112,4.2322,0.171,-0.451,-0.139,-0.054,-0.131,5.00E+02,1.06E+01,6.23E-01
3.9,4.1451,2.3511,4.2103,-0.03,-0.511,-0.151,-0.059,-0.144,5.00E+02,9.04E+00,4.77E-01
4.1,4.1579,2.4393,4.195,-0.15,-0.546,-0.158,-0.062,-0.152,6.00E+02,9.24E+00,4.35E-01
4.5,4.1807,2.6055,4.1604,-0.392,-0.606,-0.171,-0.068,-0.167,9.00E+02,1.13E+01,4.64E-01
5,4.2049,2.7972,4.1113,-0.714,-0.665,-0.183,-0.073,-0.18,6.00E+02,6.25E+00,2.24E-01
5.1,4.2093,2.8341,4.1006,-0.779,-0.676,-0.186,-0.074,-0.182,1.00E+02,9.58E-01,3.23E-02
,,,,,,,,,,,
age(Gyr)=,0.060  3,5 points,,,,,,,,,
0.4,3.4561,-1.7597,4.5761,12.682,1.751,1.939,1.556,3.581,1.00E+02,3.27E+02,6.64E+02
0.5,3.5308,-1.4377,4.6498,10.374,1.327,1.568,1.075,2.389,2.00E+02,4.50E+02,7.09E+02
0.6,3.6092,-1.0871,4.692,8.398,1.231,1.288,0.81,1.541,2.00E+02,2.92E+02,3.38E+02
0.7,3.663,-0.7742,4.6612,7.182,0.987,1.082,0.639,1.178,2.00E+02,2.03E+02,1.82E+02
0.8,3.693,-0.5954,4.6604,6.563,0.723,0.963,0.545,1.012,2.00E+02,1.48E+02,1.06E+02
0.9,3.7197,-0.3885,4.6115,5.923,0.486,0.846,0.467,0.88,2.00E+02,1.12E+02,6.60E+01
1,3.7472,-0.176,4.5547,5.301,0.273,0.72,0.396,0.758,2.00E+02,8.74E+01,4.32E+01
1.1,3.7719,0.0245,4.4944,4.746,0.12,0.606,0.34,0.66,2.00E+02,6.98E+01,2.95E+01
1.2,3.7912,0.2008,4.4331,4.278,0.042,0.524,0.3,0.588,2.00E+02,5.69E+01,2.08E+01
1.3,3.8111,0.3751,4.3732,3.824,0.001,0.446,0.262,0.517,2.00E+02,4.71E+01,1.51E+01
1.4,3.829,0.5277,4.3244,3.428,0.005,0.386,0.228,0.453,2.00E+02,3.96E+01,1.12E+01
1.5,3.848,0.6639,4.2941,3.076,0.025,0.329,0.195,0.388,2.00E+02,3.37E+01,8.50E+00
1.6,3.8714,0.787,4.2926,2.76,0.074,0.266,0.155,0.31,2.00E+02,2.89E+01,6.56E+00
1.7,3.8948,0.8996,4.3,2.48,0.109,0.204,0.116,0.234,2.00E+02,2.51E+01,5.15E+00
1.8,3.9157,1.004,4.304,2.233,0.113,0.149,0.082,0.169,2.00E+02,2.19E+01,4.09E+00
1.9,3.9346,1.1013,4.3058,2.023,0.102,0.101,0.054,0.114,2.00E+02,1.93E+01,3.30E+00
2,3.9517,1.1928,4.305,1.843,0.073,0.06,0.031,0.068,2.00E+02,1.71E+01,2.68E+00
2.1,3.9674,1.2793,4.3024,1.684,0.039,0.025,0.014,0.031,2.00E+02,1.53E+01,2.21E+00
2.2,3.982,1.3611,4.2992,1.541,0,-0.003,0.001,0.003,2.00E+02,1.37E+01,1.83E+00
2.3,3.9955,1.4392,4.2945,1.408,-0.038,-0.025,-0.008,-0.018,2.00E+02,1.23E+01,1.53E+00
2.4,4.0082,1.5139,4.289,1.281,-0.077,-0.043,-0.016,-0.035,2.00E+02,1.11E+01,1.29E+00
2.5,4.0202,1.5855,4.2832,1.16,-0.115,-0.058,-0.022,-0.049,2.00E+02,1.01E+01,1.10E+00
2.6,4.0315,1.6542,4.2767,1.044,-0.152,-0.07,-0.027,-0.06,2.00E+02,9.23E+00,9.39E-01
2.7,4.0422,1.7202,4.2699,0.933,-0.187,-0.081,-0.031,-0.07,2.00E+02,8.45E+00,8.07E-01
2.8,4.0524,1.7841,4.2626,0.825,-0.221,-0.091,-0.035,-0.079,2.00E+02,7.76E+00,6.98E-01
2.9,4.0622,1.8458,4.2553,0.722,-0.254,-0.099,-0.038,-0.086,2.00E+02,7.14E+00,6.07E-01
3,4.0715,1.9054,4.2476,0.622,-0.285,-0.106,-0.04,-0.094,3.00E+02,9.70E+00,7.69E-01
3.2,4.0888,2.0195,4.2308,0.432,-0.342,-0.119,-0.045,-0.106,4.00E+02,1.13E+01,8.20E-01
3.4,4.1048,2.1274,4.2132,0.255,-0.393,-0.129,-0.049,-0.117,4.00E+02,9.84E+00,6.43E-01
3.6,4.1195,2.2301,4.1941,0.091,-0.438,-0.138,-0.053,-0.127,5.00E+02,1.06E+01,6.23E-01
3.9,4.1393,2.3758,4.1624,-0.134,-0.497,-0.149,-0.057,-0.14,5.00E+02,9.04E+00,4.77E-01
4.1,4.1512,2.4687,4.1388,-0.278,-0.531,-0.156,-0.06,-0.148,6.00E+02,9.24E+00,4.35E-01
4.5,4.1717,2.646,4.0839,-0.558,-0.586,-0.168,-0.065,-0.161,9.00E+02,1.13E+01,4.64E-01
5,4.191,2.8562,3.9967,-0.951,-0.638,-0.18,-0.07,-0.172,6.00E+02,6.25E+00,2.24E-01
5.1,4.1938,2.8975,3.9752,-1.036,-0.645,-0.181,-0.07,-0.173,1.00E+02,9.58E-01,3.23E-02
,,,,,,,,,,,
age(Gyr)=,0.080  3,5 points,,,,,,,,,
0.4,3.4546,-1.8153,4.6257,12.827,1.727,1.932,1.559,3.582,1.00E+02,3.27E+02,6.64E+02
0.5,3.5436,-1.4341,4.6974,10.148,1.276,1.512,1.015,2.221,2.00E+02,4.50E+02,7.09E+02
0.6,3.6242,-1.0671,4.732,8.208,1.199,1.23,0.766,1.432,2.00E+02,2.92E+02,3.38E+02
0.7,3.658,-0.8504,4.7174,7.411,1.031,1.105,0.658,1.212,2.00E+02,2.03E+02,1.82E+02
0.8,3.6893,-0.6172,4.6674,6.637,0.757,0.979,0.556,1.032,2.00E+02,1.48E+02,1.06E+02
0.9,3.7191,-0.3866,4.6072,5.92,0.491,0.848,0.468,0.882,2.00E+02,1.12E+02,6.60E+01
1,3.7475,-0.1718,4.5517,5.289,0.271,0.718,0.395,0.757,2.00E+02,8.74E+01,4.32E+01
1.1,3.7726,0.0291,4.4926,4.733,0.117,0.603,0.338,0.657,2.00E+02,6.98E+01,2.95E+01
1.2,3.7927,0.2077,4.4322,4.26,0.037,0.518,0.297,0.583,2.00E+02,5.69E+01,2.08E+01
1.3,3.8116,0.3776,4.3727,3.817,0.001,0.444,0.261,0.515,2.00E+02,4.71E+01,1.51E+01
1.4,3.8292,0.5294,4.3235,3.423,0.005,0.385,0.228,0.453,2.00E+02,3.96E+01,1.12E+01
1.5,3.8481,0.6657,4.2927,3.071,0.026,0.328,0.194,0.388,2.00E+02,3.37E+01,8.50E+00
1.6,3.8714,0.7889,4.2907,2.755,0.074,0.266,0.155,0.31,2.00E+02,2.89E+01,6.56E+00
1.7,3.8945,0.9016,4.2968,2.474,0.109,0.205,0.116,0.235,2.00E+02,2.51E+01,5.15E+00
1.8,3.9153,1.0062,4.3002,2.227,0.114,0.15,0.082,0.17,2.00E+02,2.19E+01,4.09E+00
1.9,3.934,1.1037,4.301,2.015,0.103,0.102,0.054,0.116,2.00E+02,1.93E+01,3.30E+00
2,3.9508,1.1955,4.2987,1.834,0.075,0.061,0.032,0.07,2.00E+02,1.71E+01,2.68E+00
2.1,3.9663,1.2823,4.295,1.672,0.042,0.027,0.015,0.034,2.00E+02,1.53E+01,2.21E+00
2.2,3.9806,1.3647,4.29,1.526,0.004,-0.002,0.002,0.005,2.00E+02,1.37E+01,1.83E+00
2.3,3.9938,1.4432,4.2837,1.39,-0.034,-0.024,-0.007,-0.016,2.00E+02,1.23E+01,1.53E+00
2.4,4.0064,1.5186,4.2771,1.26,-0.072,-0.042,-0.015,-0.033,2.00E+02,1.11E+01,1.29E+00
2.5,4.0182,1.591,4.2697,1.136,-0.109,-0.056,-0.021,-0.046,2.00E+02,1.01E+01,1.10E+00
2.6,4.0292,1.6605,4.2612,1.017,-0.145,-0.069,-0.026,-0.058,2.00E+02,9.23E+00,9.39E-01
2.7,4.0397,1.7275,4.2526,0.902,-0.18,-0.08,-0.03,-0.067,2.00E+02,8.45E+00,8.07E-01
2.8,4.0498,1.7925,4.2438,0.791,-0.213,-0.089,-0.034,-0.076,2.00E+02,7.76E+00,6.98E-01
2.9,4.0593,1.8553,4.2342,0.683,-0.245,-0.097,-0.037,-0.084,2.00E+02,7.14E+00,6.07E-01
3,4.0683,1.916,4.2242,0.578,-0.276,-0.105,-0.039,-0.091,3.00E+02,9.70E+00,7.69E-01
3.2,4.0851,2.0329,4.2026,0.378,-0.331,-0.117,-0.044,-0.103,4.00E+02,1.13E+01,8.20E-01
3.4,4.1005,2.144,4.1794,0.188,-0.381,-0.127,-0.048,-0.114,4.00E+02,9.84E+00,6.43E-01
3.6,4.1144,2.2503,4.1535,0.007,-0.425,-0.136,-0.051,-0.123,5.00E+02,1.06E+01,6.23E-01
3.9,4.1328,2.4026,4.1096,-0.249,-0.481,-0.147,-0.056,-0.135,5.00E+02,9.04E+00,4.77E-01
4.1,4.1433,2.5009,4.075,-0.418,-0.512,-0.153,-0.058,-0.142,6.00E+02,9.24E+00,4.35E-01
4.5,4.1594,2.6918,3.9889,-0.77,-0.559,-0.164,-0.062,-0.152,9.00E+02,1.13E+01,4.64E-01
5,4.1657,2.926,3.8257,-1.306,-0.583,-0.171,-0.063,-0.155,6.00E+02,6.25E+00,2.24E-01
5.1,4.1639,2.9732,3.7799,-1.439,-0.581,-0.171,-0.062,-0.153,1.00E+02,9.58E-01,3.23E-02
,,,,,,,,,,,
age(Gyr)=,0.100 14,0 points,,,,,,,,,
0.4,3.4553,-1.8489,4.6621,12.891,1.701,1.921,1.552,3.563,4.45E+01,1.57E+02,3.35E+02
0.4444885,3.498,-1.6665,4.6963,11.525,1.434,1.699,1.249,2.843,8.57E+01,2.53E+02,4.78E+02
0.4857218,3.5408,-1.4854,4.7249,10.32,1.271,1.519,1.026,2.254,9.08E+01,2.14E+02,3.46E+02
0.5353211,3.5829,-1.2953,4.7454,9.221,1.238,1.381,0.887,1.774,1.14E+02,2.12E+02,2.91E+02
0.5992336,3.6246,-1.0963,4.7622,8.28,1.198,1.229,0.766,1.431,1.63E+02,2.30E+02,2.60E+02
0.6985453,3.6591,-0.8394,4.7099,7.375,1.023,1.1,0.654,1.205,1.99E+02,2.03E+02,1.82E+02
0.7979775,3.6932,-0.5822,4.6469,6.528,0.718,0.961,0.544,1.01,2.09E+02,1.55E+02,1.11E+02
0.9076215,3.726,-0.3259,4.5777,5.74,0.43,0.815,0.449,0.849,2.31E+02,1.26E+02,7.29E+01
1.028794,3.758,-0.074,4.5083,5.018,0.198,0.668,0.37,0.713,2.66E+02,1.08E+02,5.04E+01
1.1737725,3.788,0.1783,4.4332,4.337,0.054,0.536,0.306,0.599,1.74E+02,5.53E+01,2.18E+01
1.2030119,3.7932,0.2236,4.4194,4.219,0.036,0.515,0.296,0.58,5.84E+01,1.65E+01,5.97E+00
1.2321342,3.7983,0.2703,4.4035,4.097,0.022,0.494,0.286,0.562,5.81E+01,1.55E+01,5.40E+00
1.26111,3.8034,0.317,4.3873,3.975,0.011,0.474,0.276,0.544,5.76E+01,1.46E+01,4.89E+00
1.2897711,3.8085,0.3635,4.3709,3.854,0.004,0.455,0.266,0.526,5.84E+01,1.40E+01,4.52E+00
1.3195024,3.8137,0.4089,4.3562,3.736,0.001,0.436,0.256,0.507,5.98E+01,1.36E+01,4.23E+00
1.3495592,3.8189,0.4535,4.3422,3.62,0,0.418,0.247,0.489,5.98E+01,1.29E+01,3.87E+00
1.3793003,3.8242,0.4981,4.3283,3.505,0.002,0.401,0.237,0.47,5.90E+01,1.21E+01,3.50E+00
1.4085938,3.8296,0.5411,4.316,3.393,0.006,0.383,0.227,0.451,5.84E+01,1.14E+01,3.18E+00
1.437662,3.8353,0.5811,4.3077,3.29,0.011,0.366,0.217,0.431,5.75E+01,1.07E+01,2.89E+00
1.4661003,3.8412,0.6205,4.3004,3.188,0.017,0.349,0.207,0.411,5.68E+01,1.01E+01,2.63E+00
1.4944309,3.847,0.6599,4.2925,3.086,0.024,0.331,0.196,0.391,5.61E+01,9.52E+00,2.41E+00
1.5222301,3.8532,0.695,4.2902,2.996,0.034,0.314,0.186,0.37,5.49E+01,8.92E+00,2.19E+00
1.5493722,3.8596,0.7286,4.2899,2.909,0.048,0.297,0.175,0.349,5.48E+01,8.53E+00,2.04E+00
1.5770356,3.8659,0.7628,4.2886,2.821,0.063,0.28,0.164,0.328,5.51E+01,8.23E+00,1.91E+00
1.6044605,3.8723,0.7962,4.2883,2.736,0.076,0.263,0.153,0.307,5.55E+01,7.97E+00,1.80E+00
1.6325839,3.8788,0.828,4.29,2.656,0.087,0.246,0.142,0.285,5.63E+01,7.75E+00,1.70E+00
1.6607399,3.8853,0.8597,4.2917,2.577,0.097,0.229,0.131,0.264,5.65E+01,7.47E+00,1.59E+00
1.6890816,3.8917,0.8918,4.2926,2.498,0.106,0.212,0.12,0.243,5.81E+01,7.38E+00,1.53E+00
1.7188394,3.8981,0.9238,4.2938,2.42,0.112,0.195,0.11,0.223,6.04E+01,7.37E+00,1.48E+00
1.7495151,3.9045,0.9558,4.295,2.343,0.115,0.178,0.1,0.203,6.13E+01,7.18E+00,1.40E+00
1.7801751,3.9108,0.9879,4.2957,2.268,0.115,0.162,0.089,0.184,6.24E+01,7.01E+00,1.33E+00
1.8119428,3.9171,1.0201,4.2964,2.194,0.114,0.145,0.079,0.165,6.52E+01,7.02E+00,1.29E+00
1.8453514,3.9233,1.0528,4.2964,2.122,0.111,0.129,0.07,0.146,6.71E+01,6.93E+00,1.24E+00
1.8790421,3.9294,1.0858,4.2957,2.05,0.107,0.113,0.061,0.129,6.83E+01,6.76E+00,1.17E+00
1.9136631,3.9355,1.119,4.2948,1.98,0.102,0.098,0.052,0.111,7.09E+01,6.72E+00,1.13E+00
1.9499379,3.9416,1.1524,4.2939,1.913,0.093,0.083,0.044,0.094,7.27E+01,6.59E+00,1.08E+00
1.9863191,3.9476,1.1859,4.2925,1.847,0.082,0.068,0.036,0.078,7.43E+01,6.45E+00,1.02E+00
2.0242458,3.9536,1.2195,4.2911,1.783,0.07,0.054,0.028,0.063,7.69E+01,6.39E+00,9.82E-01
2.0632442,3.9595,1.2534,4.2891,1.718,0.058,0.041,0.022,0.049,7.80E+01,6.19E+00,9.22E-01
2.1022099,3.9654,1.2874,4.2868,1.656,0.044,0.028,0.016,0.035,8.00E+01,6.08E+00,8.77E-01
2.1432694,3.9712,1.3215,4.2843,1.594,0.029,0.016,0.01,0.023,8.24E+01,5.98E+00,8.37E-01
2.1845728,3.9771,1.3558,4.2819,1.533,0.013,0.004,0.005,0.012,8.44E+01,5.86E+00,7.94E-01
2.2277093,3.9829,1.3905,4.2789,1.472,-0.002,-0.006,0,0.001,8.68E+01,5.76E+00,7.55E-01
2.2713503,3.9886,1.425,4.2756,1.411,-0.019,-0.016,-0.004,-0.008,8.84E+01,5.60E+00,7.12E-01
2.3161584,3.9943,1.46,4.2719,1.35,-0.035,-0.025,-0.008,-0.017,9.08E+01,5.49E+00,6.76E-01
2.3621145,4,1.495,4.2682,1.289,-0.053,-0.033,-0.011,-0.025,9.18E+01,5.31E+00,6.32E-01
2.4079585,4.0056,1.5297,4.2643,1.229,-0.07,-0.041,-0.014,-0.032,9.45E+01,5.22E+00,6.02E-01
2.4565889,4.0112,1.5651,4.26,1.167,-0.087,-0.048,-0.018,-0.038,9.75E+01,5.14E+00,5.74E-01
2.5054267,4.0167,1.6007,4.2549,1.105,-0.105,-0.055,-0.02,-0.045,9.95E+01,5.01E+00,5.41E-01
2.5560718,4.0222,1.6363,4.25,1.043,-0.123,-0.062,-0.023,-0.05,1.02E+02,4.89E+00,5.11E-01
2.6072911,4.0277,1.6722,4.2447,0.98,-0.141,-0.068,-0.025,-0.056,1.04E+02,4.77E+00,4.83E-01
2.660243,4.0332,1.7081,4.2395,0.918,-0.159,-0.074,-0.028,-0.061,1.07E+02,4.67E+00,4.57E-01
2.7140231,4.0386,1.7445,4.2334,0.854,-0.177,-0.079,-0.03,-0.066,1.09E+02,4.53E+00,4.29E-01
2.7689135,4.0441,1.7807,4.2279,0.791,-0.195,-0.085,-0.032,-0.071,1.11E+02,4.43E+00,4.05E-01
2.8252477,4.0494,1.8175,4.2211,0.726,-0.213,-0.09,-0.034,-0.076,1.14E+02,4.31E+00,3.82E-01
2.8824447,4.0548,1.854,4.2149,0.663,-0.231,-0.095,-0.035,-0.08,1.17E+02,4.22E+00,3.62E-01
2.94194,4.0601,1.8913,4.2077,0.597,-0.249,-0.099,-0.037,-0.084,1.20E+02,4.15E+00,3.44E-01
3.0026426,4.0653,1.9289,4.1997,0.53,-0.267,-0.103,-0.038,-0.088,1.24E+02,4.08E+00,3.27E-01
3.0659478,4.0705,1.9665,4.192,0.464,-0.285,-0.108,-0.04,-0.092,1.27E+02,3.97E+00,3.07E-01
3.1293316,4.0757,2.0044,4.1838,0.397,-0.302,-0.111,-0.041,-0.096,1.27E+02,3.80E+00,2.85E-01
3.1933294,4.0808,2.0431,4.1743,0.328,-0.319,-0.115,-0.043,-0.1,1.32E+02,3.76E+00,2.72E-01
3.2614516,4.0858,2.0819,4.1646,0.259,-0.336,-0.119,-0.044,-0.103,1.37E+02,3.70E+00,2.59E-01
3.3298294,4.0908,2.121,4.1545,0.189,-0.352,-0.122,-0.045,-0.107,1.37E+02,3.52E+00,2.38E-01
3.3979473,4.0958,2.1604,4.1439,0.119,-0.368,-0.126,-0.046,-0.11,1.42E+02,3.48E+00,2.28E-01
3.4715566,4.1006,2.2007,4.1321,0.046,-0.384,-0.129,-0.048,-0.113,1.47E+02,3.45E+00,2.18E-01
3.5453451,4.1054,2.2414,4.1198,-0.027,-0.399,-0.132,-0.049,-0.116,1.51E+02,3.35E+00,2.04E-01
3.6221051,4.1101,2.2834,4.1059,-0.103,-0.414,-0.135,-0.05,-0.12,1.58E+02,3.34E+00,1.97E-01
3.7034213,4.1146,2.326,4.0909,-0.181,-0.428,-0.138,-0.051,-0.122,1.63E+02,3.28E+00,1.86E-01
3.7853848,4.1191,2.3696,4.0748,-0.261,-0.443,-0.14,-0.052,-0.125,1.66E+02,3.17E+00,1.74E-01
3.8697127,4.1234,2.4152,4.056,-0.346,-0.456,-0.143,-0.053,-0.128,1.74E+02,3.14E+00,1.66E-01
3.9589082,4.1275,2.4621,4.0354,-0.435,-0.469,-0.146,-0.054,-0.131,1.83E+02,3.14E+00,1.60E-01
4.052862,4.1313,2.5112,4.0117,-0.531,-0.481,-0.148,-0.055,-0.133,1.96E+02,3.18E+00,1.55E-01
4.1545358,4.1348,2.5634,3.9842,-0.637,-0.493,-0.151,-0.055,-0.135,2.15E+02,3.30E+00,1.55E-01
4.2683091,4.1377,2.6208,3.9502,-0.759,-0.503,-0.153,-0.056,-0.137,2.40E+02,3.45E+00,1.54E-01
4.3943662,4.1397,2.6865,3.9051,-0.909,-0.511,-0.155,-0.056,-0.138,2.74E+02,3.67E+00,1.57E-01
4.5419152,4.1396,2.7639,3.8417,-1.104,-0.514,-0.156,-0.056,-0.137,2.70E+02,3.37E+00,1.37E-01
4.6641183,4.1371,2.825,3.7821,-1.275,-0.51,-0.156,-0.055,-0.134,2.15E+02,2.52E+00,9.80E-02
4.7568977,4.1332,2.8729,3.7271,-1.423,-0.502,-0.155,-0.054,-0.131,1.66E+02,1.86E+00,6.98E-02
4.8302439,4.1282,2.9119,3.6748,-1.556,-0.491,-0.154,-0.052,-0.127,1.33E+02,1.44E+00,5.27E-02
4.8903234,4.1225,2.9449,3.6244,-1.678,-0.478,-0.151,-0.05,-0.122,1.12E+02,1.17E+00,4.20E-02
4.9421762,4.1164,2.9741,3.5753,-1.792,-0.464,-0.149,-0.048,-0.117,9.95E+01,1.01E+00,3.58E-02
4.9897927,4.1102,3.0024,3.5264,-1.902,-0.45,-0.146,-0.047,-0.112,1.08E+02,1.08E+00,3.74E-02
